ID,Date,Time,Frequency,LastDatetime,IntervalTime,Remarks
92,2025-03-21,06:05:54,1,2025-03-17T03:41:01.000Z,5904,测试数据
93,2025-03-27,20:10:16,1,2025-03-21T06:05:54.000Z,9484,测试数据
94,2025-03-29,17:49:50,1,2025-03-27T20:10:16.000Z,2739,测试数据
95,2025-04-05,02:07:17,1,2025-03-29T17:49:50.000Z,9137,测试数据
103,2025-04-05,17:01:50,2,2025-04-05T02:07:17.000Z,3075,测试数据
104,2025-04-07,20:17:04,1,2025-04-05T17:01:50.000Z,3075,测试数据
105,2025-04-10,03:02:10,1,2025-04-07T20:17:04.000Z,3285,测试数据
106,2025-04-11,02:52:15,1,2025-04-10T03:02:10.000Z,1430,测试数据
107,2025-04-13,02:43:41,1,2025-04-11T02:52:15.000Z,2871,测试数据
108,2025-04-15,04:15:19,1,2025-04-13T02:43:41.000Z,2971,测试数据
110,2025-04-17,01:39:34,1,2025-04-15T04:15:19.000Z,2724,测试数据
111,2025-04-18,03:09:51,1,2025-04-17T01:39:34.000Z,1530,测试数据
113,2025-04-21,16:28:37,1,2025-04-18T03:09:51.000Z,2174,测试数据
115,2025-04-23,04:42:37,1,2025-04-21T16:28:37.000Z,2174,测试数据
116,2025-04-25,21:05:57,1,2025-04-23T04:42:37.000Z,3863,测试数据
117,2025-04-28,04:13:31,1,2025-04-25T21:05:57.000Z,3307,测试数据
118,2025-04-30,02:08:03,1,2025-04-28T04:13:31.000Z,2754,测试数据
120,2025-05-02,05:02:33,1,2025-04-30T02:08:03.000Z,3054,测试数据
121,2025-05-03,16:46:43,1,2025-05-02T05:02:33.000Z,2144,测试数据
122,2025-05-08,04:00:42,1,2025-05-03T16:46:43.000Z,6433,测试数据
123,2025-05-11,19:06:23,1,2025-05-08T04:00:42.000Z,6433,测试数据
124,2025-05-12,15:18:13,1,2025-05-11T19:06:23.000Z,1211,测试数据
125,2025-05-14,01:28:00,1,2025-05-12T15:18:13.000Z,2049,测试数
126,2025-05-16,02:18:52,1,2025-05-14T01:28:00.000Z,2930,测试数据
127,2025-05-18,00:47:35,1,2025-05-16T02:18:52.000Z,2788,测试数据
128,2025-05-21,02:26:49,1,2025-05-18T00:47:35.000Z,4419,测试数据
129,2025-05-24,11:13:58,1,2025-05-21T02:26:49.000Z,4847,测试数据
130,2025-05-26,16:31:34,1,2025-05-24T11:13:58.000Z,3197,测试数据
131,2025-05-27,10:47:52,1,2025-05-26T16:31:34.000Z,1006,测试数据
132,2025-05-30,15:43:37,1,2025-05-27T10:47:52.000Z,4615,测试数据
133,2025-06-02,03:45:45,1,2025-05-30T15:43:37.000Z,3602,测试数据
134,2025-06-03,03:15:21,1,2025-06-02T03:45:45.000Z,1409,测试数据
135,2025-06-09,19:54:26,1,2025-06-03T03:15:21.000Z,9639,测试数据
136,2025-06-10,05:13:08,1,2025-06-09T19:54:26.000Z,558,测试数据
138,2025-06-12,01:42:56,1,2025-06-10T05:13:08.000Z,2669,测试数据
139,2025-06-15,03:11:51,1,2025-06-12T01:42:56.000Z,4408,测试数据
140,2025-06-20,02:12:52,1,2025-06-15T03:11:51.000Z,4358,测试数据
141,2025-06-23,02:51:31,1,2025-06-20T02:12:52.000Z,4358,测试数据
142,2025-06-26,20:44:34,1,2025-06-23T02:51:31.000Z,5393,测试数据
143,2025-06-27,02:53:35,1,2025-06-26T20:44:34.000Z,369,测试数据
144,2025-06-28,16:55:28,1,2025-06-27T02:53:35.000Z,2281,测试数据
145,2025-07-02,02:52:17,1,2025-06-28T16:55:28.000Z,4916,测试数据
146,2025-07-04,02:47:55,1,2025-07-02T02:52:17.000Z,2875,测试数据
147,2025-07-05,04:06:40,1,2025-07-04T02:47:55.000Z,1518,测试数据
148,2025-07-09,14:52:46,1,2025-07-05T04:06:40.000Z,2260,测试数据
149,2025-07-11,04:33:29,1,2025-07-09T14:52:46.000Z,2260,测试数据
150,2025-07-12,04:50:14,1,2025-07-11T04:33:29.000Z,1456,测试数据
151,2025-07-14,14:19:52,1,2025-07-12T04:50:14.000Z,3449,测试数据
152,2025-07-16,13:19:00,1,2025-07-14T14:19:52.000Z,2819,测试数据
153,2025-07-19,09:01:35,1,2025-07-16T13:19:00.000Z,4062,测试数据
154,2025-07-24,11:12:02,1,2025-07-19T09:01:35.000Z,7330,测试数据
155,2025-07-27,04:07:45,1,2025-07-24T11:12:02.000Z,3895,测试数据
156,2025-07-29,21:32:46,1,2025-07-27T04:07:45.000Z,3925,测试数据
157,2025-07-31,14:27:50,1,2025-07-29T21:32:46.000Z,2455,测试数据
158,2025-08-02,11:52:46,1,2025-07-31T14:27:50.000Z,2724,测试数据
159,2025-08-04,00:52:55,1,2025-08-02T11:52:46.000Z,2220,测试数据
160,2025-08-08,11:36:42,1,2025-08-04T00:52:55.000Z,6403,测试数据
161,2025-08-10,02:37:19,1,2025-08-08T11:36:42.000Z,2340,测试数据
162,2025-08-12,16:16:02,1,2025-08-10T02:37:19.000Z,3698,测试数据
163,2025-08-15,03:25:39,1,2025-08-12T16:16:02.000Z,3549,测试数据
164,2025-08-17,13:57:24,1,2025-08-15T03:25:39.000Z,2511,测试数据
165,2025-08-20,03:39:29,1,2025-08-17T13:57:24.000Z,3702,测试数据
166,2025-08-24,02:36:28,1,2025-08-20T03:39:29.000Z,5696,测试数据
167,2025-08-26,14:16:27,1,2025-08-24T02:36:28.000Z,3579,测试数据
168,2025-08-28,03:04:39,1,2025-08-26T14:16:27.000Z,2208,测试数据
169,2025-08-31,18:33:18,1,2025-08-28T03:04:39.000Z,5248,测试数据
170,2025-09-02,05:15:07,1,2025-08-31T18:33:18.000Z,2081,测试数据
171,2025-09-04,03:29:50,1,2025-09-02T05:15:07.000Z,2774,测试数据
172,2025-09-06,14:24:23,1,2025-09-04T03:29:50.000Z,2774,测试数据
173,2025-09-09,15:49:36,1,2025-09-06T14:24:23.000Z,4405,测试数据
174,2025-09-12,14:22:32,1,2025-09-09T15:49:36.000Z,4232,测试数据
175,2025-09-16,18:03:23,1,2025-09-12T14:22:32.000Z,5980,测试数据
176,2025-09-18,16:09:26,1,2025-09-16T18:03:23.000Z,2766,测试数据
177,2025-09-21,20:21:59,1,2025-09-18T16:09:26.000Z,4572,测试数据
178,2025-09-21,23:01:03,2,2025-09-21T20:21:59.000Z,159,测试数据
179,2025-09-25,16:40:12,1,2025-09-21T23:01:03.000Z,5379,测试数据
180,2025-09-29,14:43:56,1,2025-09-25T16:40:12.000Z,5078,测试数据
181,2025-10-03,03:22:38,1,2025-09-29T14:43:56.000Z,5078,测试数据
182,2025-10-06,03:10:47,1,2025-10-03T03:22:38.000Z,4308,测试数据
183,2025-10-09,15:06:56,1,2025-10-06T03:10:47.000Z,5036,测试数据
184,2025-10-11,02:43:48,1,2025-10-09T15:06:56.000Z,2136,测试数据
185,2025-10-12,02:24:20,1,2025-10-11T02:43:48.000Z,1420,测试数据
186,2025-10-15,11:28:22,1,2025-10-12T02:24:20.000Z,4864,测试数据
187,2025-10-19,00:34:47,1,2025-10-15T11:28:22.000Z,5106,测试数据
188,2025-10-20,14:52:30,1,2025-10-19T00:34:47.000Z,5106,测试数据
189,2025-10-21,04:45:57,1,2025-10-20T14:52:30.000Z,833,测试数据
190,2025-10-24,15:17:44,1,2025-10-21T04:45:57.000Z,4951,测试数据
191,2025-10-26,03:53:08,1,2025-10-24T15:17:44.000Z,2195,测试数据
192,2025-10-27,20:33:00,1,2025-10-26T03:53:08.000Z,2439,测试数据
193,2025-10-28,02:30:57,1,2025-10-27T20:33:00.000Z,357,测试数据
194,2025-10-30,05:20:05,1,2025-10-28T02:30:57.000Z,3049,测试数据
195,2025-10-31,16:12:17,1,2025-10-30T05:20:05.000Z,2092,测试数据
196,2025-11-03,16:15:03,1,2025-10-31T16:12:17.000Z,5667,测试数据
197,2025-11-07,14:42:19,1,2025-11-03T16:15:03.000Z,5667,测试数据
198,2025-11-10,03:51:38,1,2025-11-07T14:42:19.000Z,3669,测试数据
199,2025-11-10,15:10:33,2,2025-11-10T03:51:38.000Z,678,测试数据
200,2025-11-12,14:08:48,1,2025-11-10T15:10:33.000Z,2818,测试数据
201,2025-11-16,14:12:42,1,2025-11-12T14:08:48.000Z,5763,测试数据
202,2025-11-19,02:45:56,1,2025-11-16T14:12:42.000Z,3633,测试数据
203,2025-11-21,20:02:19,1,2025-11-19T02:45:56.000Z,3916,测试数据
204,2025-11-23,23:23:22,1,2025-11-21T20:02:19.000Z,3081,测试数据
205,2025-11-26,02:12:43,1,2025-11-23T23:23:22.000Z,3049,测试数据
206,2025-11-29,14:18:45,1,2025-11-26T02:12:43.000Z,5046,测试数据
207,2025-12-03,04:24:36,1,2025-11-29T14:18:45.000Z,5165,测试数据
208,2025-12-05,00:59:07,1,2025-12-03T04:24:36.000Z,2674,测试数据
209,2025-12-10,03:30:24,1,2025-12-05T00:59:07.000Z,7351,测试数据
210,2025-12-13,04:51:19,1,2025-12-10T03:30:24.000Z,4400,测试数据
211,2025-12-14,02:20:52,1,2025-12-13T04:51:19.000Z,1289,测试数据
212,2025-12-16,03:41:59,1,2025-12-14T02:20:52.000Z,2061,测试数据
213,2025-12-19,01:11:45,1,2025-12-16T03:41:59.000Z,4169,测试数据
214,2025-12-21,02:05:09,1,2025-12-19T01:11:45.000Z,2933,测试数据
215,2025-12-23,16:38:08,1,2025-12-21T02:05:09.000Z,3752,测试数据
216,2025-12-26,14:38:28,1,2025-12-23T16:38:08.000Z,4200,测试数据
217,2025-12-31,14:31:50,1,2025-12-26T14:38:28.000Z,7193,测试数据
218,2026-01-03,17:34:58,1,2025-12-31T14:31:50.000Z,4503,测试数据
219,2026-01-05,16:52:55,1,2026-01-03T17:34:58.000Z,2837,测试数据
221,2026-01-07,14:41:07,1,2026-01-05T16:52:55.000Z,4503,测试数据
222,2026-01-09,15:59:53,1,2026-01-07T14:41:07.000Z,2958,测试数据
223,2026-01-11,15:42:21,1,2026-01-09T15:59:53.000Z,2862,测试数据
224,2026-01-14,01:04:57,1,2026-01-11T15:42:21.000Z,3442,测试数据
225,2026-01-14,23:57:46,2,2026-01-14T01:04:57.000Z,1372,测试数据
226,2026-01-15,02:13:51,1,2026-01-14T23:57:46.000Z,136,测试数据
227,2026-01-17,00:53:11,1,2026-01-15T02:13:51.000Z,2799,测试数据
228,2026-01-18,07:34:28,1,2026-01-17T00:53:11.000Z,1841,测试数据
229,2026-01-20,23:45:36,1,2026-01-18T07:34:28.000Z,1841,测试数据
230,2026-01-23,03:20:32,1,2026-01-20T23:45:36.000Z,3094,测试数据
231,2026-01-27,16:48:01,1,2026-01-23T03:20:32.000Z,6567,测试数据
232,2026-01-29,03:12:05,1,2026-01-27T16:48:01.000Z,2064,测试数据
233,2026-01-31,13:09:13,1,2026-01-29T03:12:05.000Z,3477,测试数据
234,2026-02-02,18:12:28,1,2026-01-31T13:09:13.000Z,3183,测试数据
235,2026-02-03,22:07:08,1,2026-02-02T18:12:28.000Z,1674,测试数据
236,2026-02-07,00:07:46,1,2026-02-03T22:07:08.000Z,4440,测试数据
237,2026-02-09,19:11:07,1,2026-02-07T00:07:46.000Z,1306,测试数据
238,2026-02-10,16:57:44,1,2026-02-09T19:11:07.000Z,1306,测试数据
239,2026-02-15,17:17:21,1,2026-02-10T16:57:44.000Z,7219,测试数据
240,2026-02-17,05:24:38,1,2026-02-15T17:17:21.000Z,2167,测试数据
241,2026-02-19,15:53:10,1,2026-02-17T05:24:38.000Z,3508,测试数据
242,2026-02-21,16:01:11,1,2026-02-19T15:53:10.000Z,2888,测试数据
243,2026-02-24,00:22:55,1,2026-02-21T16:01:11.000Z,3381,测试数据
244,2026-02-25,06:11:39,1,2026-02-24T00:22:55.000Z,1788,测试数据
245,2026-02-28,04:21:25,1,2026-02-25T06:11:39.000Z,1090,测试数据
246,2026-02-28,22:09:56,2,2026-02-28T04:21:25.000Z,1068,测试数据
247,2026-03-02,16:28:20,1,2026-02-28T22:09:56.000Z,2538,测试数据
248,2026-03-05,03:18:08,1,2026-03-02T16:28:20.000Z,3529,测试数据
249,2026-03-06,01:38:27,1,2026-03-05T03:18:08.000Z,1340,测试数据
251,2026-03-09,21:55:51,1,2026-03-06T01:38:27.000Z,5537,测试数据
252,2026-03-09,21:56:04,2,2026-03-09T21:55:51.000Z,0,测试数据
253,2026-03-12,21:22:18,1,2026-03-09T21:56:04.000Z,4286,测试数据
254,2026-03-15,03:33:58,1,2026-03-12T21:22:18.000Z,3251,测试数据
255,2026-03-19,01:58:01,1,2026-03-15T03:33:58.000Z,5664,测试数据
256,2026-03-20,18:09:36,1,2026-03-19T01:58:01.000Z,2411,测试数据
257,2026-03-23,03:10:20,1,2026-03-20T18:09:36.000Z,3420,测试数据
258,2026-03-25,14:39:24,1,2026-03-23T03:10:20.000Z,3569,测试数据
259,2026-03-28,23:55:35,1,2026-03-25T14:39:24.000Z,4876,测试数据
261,2026-04-01,03:29:42,1,2026-03-28T23:55:35.000Z,4534,测试数据
262,2026-04-04,15:40:50,1,2026-04-01T03:29:42.000Z,5051,测试数据
263,2026-04-04,16:11:27,2,2026-04-04T15:40:50.000Z,30,测试数据
264,2026-04-06,13:25:42,1,2026-04-04T16:11:27.000Z,2714,测试数据
265,2026-04-08,12:11:23,1,2026-04-06T13:25:42.000Z,2805,测试数据
